match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
3,Royal Challengers Bangalore,M Muralitharan,4.0,0,27,0,6.75,10
3,Royal Challengers Bangalore,R Vinay Kumar,3.4,0,26,1,7.09,12
3,Royal Challengers Bangalore,RA Jadeja,4.0,0,28,1,7.0,8
3,Royal Challengers Bangalore,RP Singh,3.0,0,29,0,9.67,4
3,Royal Challengers Bangalore,RV Gomez,1.0,0,20,1,20.0,1
3,Royal Challengers Bangalore,S Sreesanth,3.0,0,28,1,9.33,6
10,Pune Warriors,BJ Hodge,2.0,0,14,2,7.0,6
10,Pune Warriors,M Muralitharan,3.5,0,42,1,10.96,7
10,Pune Warriors,R Vinay Kumar,3.0,0,15,1,5.0,9
10,Pune Warriors,RA Jadeja,4.0,0,28,1,7.0,8
10,Pune Warriors,RP Singh,3.0,0,30,0,10.0,7
10,Pune Warriors,S Sreesanth,3.0,0,21,0,7.0,8
13,Mumbai Indians,NLTC Perera,4.0,0,38,0,9.5,7
13,Mumbai Indians,R Vinay Kumar,4.0,0,48,0,12.0,6
13,Mumbai Indians,RA Jadeja,4.0,0,29,0,7.25,7
13,Mumbai Indians,RP Singh,4.0,0,15,0,3.75,10
13,Mumbai Indians,RR Powar,1.0,0,12,0,12.0,2
13,Mumbai Indians,RV Gomez,3.0,0,29,1,9.67,6
18,Chennai Super Kings,NLTC Perera,4.0,0,32,1,8.0,6
18,Chennai Super Kings,R Vinay Kumar,3.0,0,16,0,5.33,8
18,Chennai Super Kings,RA Jadeja,1.0,0,14,0,14.0,2
18,Chennai Super Kings,RP Singh,4.0,0,24,1,6.0,15
18,Chennai Super Kings,RR Powar,3.0,0,24,0,8.0,4
18,Chennai Super Kings,RV Gomez,2.0,0,20,1,10.0,4
22,Kolkata Knight Riders,M Muralitharan,4.0,0,18,1,4.5,10
22,Kolkata Knight Riders,R Vinay Kumar,4.0,0,21,1,5.25,10
22,Kolkata Knight Riders,RA Jadeja,4.0,0,25,2,6.25,10
22,Kolkata Knight Riders,RP Singh,4.0,0,25,2,6.25,10
