innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,JP Inglis,66,21,MR Marsh,10,10,1,77,31
1,Lucknow Super Giants,2,N Pooran,1,3,JP Inglis,12,5,2,15,7
1,Lucknow Super Giants,3,RR Pant,13,10,JP Inglis,7,7,0,20,17
1,Lucknow Super Giants,4,AK Markram,1,1,RR Pant,2,2,0,3,3
1,Lucknow Super Giants,5,Akshat Raghuwanshi,8,9,AK Markram,5,6,2,15,15
1,Lucknow Super Giants,6,Akshat Raghuwanshi,10,9,Shahbaz Ahmed,6,4,1,17,13
1,Lucknow Super Giants,7,Himmat Singh,17,12,Shahbaz Ahmed,31,20,2,50,32
1,Lucknow Super Giants,8,Mohammed Shami,0,1,Shahbaz Ahmed,0,0,0,0,1
1,Lucknow Super Giants,9,Shahbaz Ahmed,6,1,Avesh Khan,0,0,0,6,1
2,Chennai Super Kings,1,SV Samson,28,14,RD Gaikwad,17,8,0,45,22
2,Chennai Super Kings,2,Urvil Patel,65,23,RD Gaikwad,15,11,1,81,34
2,Chennai Super Kings,3,Kartik Sharma,12,12,RD Gaikwad,10,9,1,23,21
2,Chennai Super Kings,4,D Brevis,10,12,Kartik Sharma,8,7,2,20,19
2,Chennai Super Kings,5,Kartik Sharma,0,1,S Dube,0,0,0,0,1
2,Chennai Super Kings,6,PR Veer,17,12,S Dube,15,7,7,39,19
