innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,9,4,Royal Challengers Bangalore,M Vohra,M Markande,M Erasmus,,struck down,True
2,4,1,Mumbai Indians,SA Yadav,UT Yadav,Nitin Menon,,struck down,True
2,4,2,Royal Challengers Bangalore,RG Sharma,UT Yadav,Nitin Menon,,upheld,False
2,19,1,Royal Challengers Bangalore,KH Pandya,Mohammed Siraj,M Erasmus,,struck down,False
