match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
2,2019-03-24,Sunrisers Hyderabad,Eden Gardens,3.0,0,23,1,7.67,10,0,0
6,2019-03-27,Kings XI Punjab,Eden Gardens,3.0,0,26,1,8.67,5,0,0
10,2019-03-30,Delhi Capitals,Arun Jaitley Stadium,4.0,0,36,1,9.0,5,0,0
17,2019-04-05,Royal Challengers Bangalore,M.Chinnaswamy Stadium,4.0,0,32,0,8.0,4,0,0
21,2019-04-07,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,19,0,4.75,13,0,0
23,2019-04-09,Chennai Super Kings,MA Chidambaram Stadium,4.0,0,28,1,7.0,10,0,0
26,2019-04-12,Delhi Capitals,Eden Gardens,2.5,0,35,0,12.35,1,0,0
29,2019-04-14,Chennai Super Kings,Eden Gardens,3.4,0,32,2,8.73,8,0,0
35,2019-04-19,Royal Challengers Bangalore,Eden Gardens,1.0,0,10,0,10.0,1,0,0
38,2019-04-21,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,3.0,0,38,0,12.67,5,0,0
43,2019-04-25,Rajasthan Royals,Eden Gardens,4.0,0,20,3,5.0,14,0,0
47,2019-04-28,Mumbai Indians,Eden Gardens,4.0,0,57,1,14.25,4,0,0
52,2019-05-03,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,4.0,0,43,0,10.75,4,0,0
