innings,team,wicket_number,player_out,score,over
1,Rising Pune Supergiant,1,AM Rahane,18,4.1
1,Rising Pune Supergiant,2,RA Tripathi,58,9.2
1,Rising Pune Supergiant,3,SPD Smith,108,14.5
2,Royal Challengers Bangalore,1,TM Head,11,2.6
2,Royal Challengers Bangalore,2,AB de Villiers,32,5.4
2,Royal Challengers Bangalore,3,KM Jadhav,44,8.4
2,Royal Challengers Bangalore,4,Sachin Baby,47,9.4
2,Royal Challengers Bangalore,5,STR Binny,48,10.5
2,Royal Challengers Bangalore,6,P Negi,61,13.4
2,Royal Challengers Bangalore,7,AF Milne,71,15.6
2,Royal Challengers Bangalore,8,S Badree,82,17.5
2,Royal Challengers Bangalore,9,V Kohli,84,18.5
