innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Pune Warriors,death,35,3,30,7.0,5,13
1,Pune Warriors,middle,40,4,54,4.44,3,27
1,Pune Warriors,powerplay,24,2,36,4.0,3,21
2,Kings XI Punjab,death,33,1,26,7.62,5,12
2,Kings XI Punjab,middle,31,0,26,7.15,3,7
2,Kings XI Punjab,powerplay,36,1,22,9.82,7,10
