innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bengaluru,1,V Kohli,8,2.4
1,Royal Challengers Bengaluru,2,D Padikkal,13,3.2
1,Royal Challengers Bengaluru,3,PD Salt,35,5.4
1,Royal Challengers Bengaluru,4,RM Patidar,42,7.2
1,Royal Challengers Bengaluru,5,JM Sharma,94,13.4
1,Royal Challengers Bengaluru,6,KH Pandya,104,15.2
1,Royal Challengers Bengaluru,7,LS Livingstone,150,19.2
1,Royal Challengers Bengaluru,8,TH David,169,20.6
2,Gujarat Titans,1,Shubman Gill,32,5.4
2,Gujarat Titans,2,B Sai Sudharsan,107,13.3
