match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
9,2014-04-22,Sunrisers Hyderabad,Sharjah Cricket Stadium,4.0,0,26,1,6.5,10,1,0
15,2014-04-26,Kolkata Knight Riders,Sheikh Zayed Stadium,4.0,1,21,3,5.25,16,1,0
18,2014-04-28,Royal Challengers Bangalore,Dubai International Cricket Stadium,3.0,1,15,3,5.0,12,0,0
22,2014-05-03,Mumbai Indians,Wankhede Stadium,3.1,0,29,2,9.16,11,1,0
29,2014-05-07,Chennai Super Kings,Barabati Stadium,4.0,0,37,1,9.25,8,1,0
31,2014-05-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,25,3,6.25,15,0,0
34,2014-05-11,Kolkata Knight Riders,Barabati Stadium,4.0,0,32,0,8.0,11,1,0
39,2014-05-14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,65,1,16.25,6,1,3
45,2014-05-19,Delhi Daredevils,Feroz Shah Kotla,4.0,0,35,3,8.75,11,3,0
48,2014-05-21,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",3.0,0,37,0,12.33,5,1,0
59,2014-05-30,Chennai Super Kings,Wankhede Stadium,3.0,0,32,1,10.67,4,1,0
