innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Delhi Capitals,1,PP Shaw,29,13,S Dhawan,7,7,36,20
1,Delhi Capitals,2,SS Iyer,1,8,PP Shaw,13,5,14,13
1,Delhi Capitals,3,PP Shaw,17,14,AR Patel,10,11,27,25
1,Delhi Capitals,4,PP Shaw,1,2,RR Pant,2,2,3,4
1,Delhi Capitals,5,RR Pant,40,26,SO Hetmyer,37,24,83,50
1,Delhi Capitals,6,RR Pant,9,7,TK Curran,0,1,9,8
2,Chennai Super Kings,1,RD Gaikwad,2,2,F du Plessis,1,2,3,4
2,Chennai Super Kings,2,RV Uthappa,63,44,RD Gaikwad,45,33,110,77
2,Chennai Super Kings,3,RD Gaikwad,3,2,SN Thakur,0,1,4,3
2,Chennai Super Kings,4,AT Rayudu,1,3,RD Gaikwad,1,1,2,4
2,Chennai Super Kings,5,RD Gaikwad,19,12,MM Ali,11,9,30,21
2,Chennai Super Kings,6,MM Ali,5,3,MS Dhoni,6,3,11,6
2,Chennai Super Kings,7,MS Dhoni,12,3,RA Jadeja,0,0,13,3
