innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Lucknow Super Giants,Q de Kock,140,70,10,10,200.0,not out,1
1,Lucknow Super Giants,KL Rahul,68,51,3,4,133.33,not out,2
2,Kolkata Knight Riders,VR Iyer,0,4,0,0,0.0,c Q de Kock b Mohsin Khan,1
2,Kolkata Knight Riders,A Tomar,4,8,1,0,50.0,c KL Rahul b Mohsin Khan,2
2,Kolkata Knight Riders,N Rana,42,22,9,0,190.91,c MP Stoinis b K Gowtham,3
2,Kolkata Knight Riders,SS Iyer,50,29,4,3,172.41,c DJ Hooda b MP Stoinis,4
2,Kolkata Knight Riders,SW Billings,36,24,2,3,150.0,st Q de Kock b Ravi Bishnoi,5
2,Kolkata Knight Riders,AD Russell,5,11,0,0,45.45,c DJ Hooda b Mohsin Khan,6
2,Kolkata Knight Riders,RK Singh,40,15,2,4,266.67,c E Lewis b MP Stoinis,7
2,Kolkata Knight Riders,SP Narine,21,7,0,3,300.0,not out,8
2,Kolkata Knight Riders,UT Yadav,0,1,0,0,0.0,b MP Stoinis,9
