innings,team,wicket_number,player_out,score,over
1,Royal Challengers Bangalore,1,JH Kallis,28,5.4
1,Royal Challengers Bangalore,2,R Dravid,59,8.6
1,Royal Challengers Bangalore,3,MK Pandey,63,10.4
1,Royal Challengers Bangalore,4,V Kohli,110,16.4
1,Royal Challengers Bangalore,5,EJG Morgan,119,17.5
2,Chennai Super Kings,1,PA Patel,2,1.6
2,Chennai Super Kings,2,ML Hayden,57,10.2
2,Chennai Super Kings,3,GJ Bailey,59,10.4
2,Chennai Super Kings,4,SK Raina,71,12.3
2,Chennai Super Kings,5,M Vijay,74,13.3
2,Chennai Super Kings,6,S Badrinath,107,16.6
2,Chennai Super Kings,7,JA Morkel,135,20.4
