innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,3,6,Gujarat Titans,Naman Dhir,Azmatullah Omarzai,VA Kulkarni,wicket,upheld,False
2,13,1,Mumbai Indians,RG Sharma,R Sai Kishore,VA Kulkarni,wicket,struck down,False
