match_number,date,opponent,venue,result,margin
5,2025-03-25,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 11 runs
9,2025-03-29,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",won,by 36 runs
14,2025-04-02,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 8 wickets
19,2025-04-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 7 wickets
23,2025-04-09,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",won,by 58 runs
26,2025-04-12,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 6 wickets
35,2025-04-19,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",won,by 7 wickets
39,2025-04-21,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 39 runs
47,2025-04-28,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",lost,by 8 wickets
51,2025-05-02,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",won,by 38 runs
56,2025-05-06,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 3 wickets
60,2025-05-18,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 10 wickets
64,2025-05-22,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",lost,by 33 runs
67,2025-05-25,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",lost,by 83 runs
72,2025-05-30,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",lost,by 20 runs
