innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,GC Smith,28,4.6
1,Pune Warriors,2,M Manhas,82,9.3
1,Pune Warriors,3,JD Ryder,98,10.6
1,Pune Warriors,4,RV Uthappa,117,14.3
1,Pune Warriors,5,MD Mishra,146,18.2
2,Delhi Daredevils,1,DA Warner,75,7.6
2,Delhi Daredevils,2,V Sehwag,97,10.5
2,Delhi Daredevils,3,IK Pathan,116,13.3
2,Delhi Daredevils,4,NV Ojha,116,13.4
2,Delhi Daredevils,5,MS Wade,120,14.6
2,Delhi Daredevils,6,AJ Finch,167,19.1
2,Delhi Daredevils,7,Y Venugopal Rao,180,19.6
