innings,over,ball,team,player_in,player_out,reason
1,18,1,Kolkata Knight Riders,A Raghuvanshi,CV Varun,impact_player
2,1,1,Royal Challengers Bengaluru,Vijaykumar Vyshak,KD Karthik,impact_player
