innings,over,ball,team,batter,bowler,umpire,type,decision
2,6,1,Sunrisers Hyderabad,D Ferreira,E Malinga,J Madanagopal,wicket,struck down
2,16,3,Sunrisers Hyderabad,RA Jadeja,E Malinga,J Madanagopal,wicket,upheld
