innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,5,2,Lucknow Super Giants,WG Jacks,Ravi Bishnoi,CB Gaffaney,wicket,struck down,False
2,17,4,Mumbai Indians,Ravi Bishnoi,C Bosch,CB Gaffaney,wicket,struck down,False
2,19,1,Mumbai Indians,Prince Yadav,C Bosch,CB Gaffaney,wicket,struck down,False
