innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,20,6,Lucknow Super Giants,R Tewatia,JO Holder,KN Ananthapadmanabhan,,struck down,True
2,10,4,Gujarat Titans,DJ Hooda,Rashid Khan,KN Ananthapadmanabhan,,struck down,False
2,14,5,Gujarat Titans,Avesh Khan,Rashid Khan,KN Ananthapadmanabhan,,upheld,False
