innings,team,wicket_number,player_out,score,over
1,Gujarat Titans,1,WP Saha,8,3.4
1,Gujarat Titans,2,MS Wade,24,5.2
1,Gujarat Titans,3,HH Pandya,51,10.1
1,Gujarat Titans,4,DA Miller,103,16.6
2,Lucknow Super Giants,1,Q de Kock,19,4.3
2,Lucknow Super Giants,2,KL Rahul,24,5.5
2,Lucknow Super Giants,3,KS Sharma,33,6.5
2,Lucknow Super Giants,4,KH Pandya,45,8.3
2,Lucknow Super Giants,5,A Badoni,61,11.5
2,Lucknow Super Giants,6,MP Stoinis,65,12.2
2,Lucknow Super Giants,7,JO Holder,67,12.6
2,Lucknow Super Giants,8,Mohsin Khan,70,13.6
2,Lucknow Super Giants,9,DJ Hooda,70,14.1
2,Lucknow Super Giants,10,Avesh Khan,82,14.5
