innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Mumbai Indians,death,39,2,30,7.8,5,12
1,Mumbai Indians,middle,60,4,54,6.67,4,17
1,Mumbai Indians,powerplay,56,2,36,9.33,10,15
2,Gujarat Titans,death,68,5,40,10.2,9,11
2,Gujarat Titans,middle,51,1,40,7.65,5,12
2,Gujarat Titans,powerplay,28,1,34,4.94,3,22
