match_number,date,opponent,venue,result,margin
4,2016-04-12,Sunrisers Hyderabad,M Chinnaswamy Stadium,won,by 45 runs
11,2016-04-17,Delhi Daredevils,M Chinnaswamy Stadium,lost,by 7 wickets
14,2016-04-20,Mumbai Indians,Wankhede Stadium,lost,by 6 wickets
16,2016-04-22,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,won,by 13 runs
19,2016-04-24,Gujarat Lions,Saurashtra Cricket Association Stadium,lost,by 6 wickets
27,2016-04-30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 15 runs
30,2016-05-02,Kolkata Knight Riders,M Chinnaswamy Stadium,lost,by 5 wickets
35,2016-05-07,Rising Pune Supergiants,M Chinnaswamy Stadium,won,by 7 wickets
39,2016-05-09,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 1 runs
41,2016-05-11,Mumbai Indians,M Chinnaswamy Stadium,lost,by 6 wickets
44,2016-05-14,Gujarat Lions,M Chinnaswamy Stadium,won,by 144 runs
48,2016-05-16,Kolkata Knight Riders,Eden Gardens,won,by 9 wickets
50,2016-05-18,Kings XI Punjab,M Chinnaswamy Stadium,won,by 82 runs
56,2016-05-22,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,won,by 6 wickets
57,2016-05-24,Gujarat Lions,M Chinnaswamy Stadium,won,by 4 wickets
60,2016-05-29,Sunrisers Hyderabad,M Chinnaswamy Stadium,lost,by 8 runs
