match_number,date,opponent,catches,stumpings,run_outs
2,2016-04-10,Delhi Daredevils,1,1,0
5,2016-04-13,Mumbai Indians,0,0,1
8,2016-04-16,Sunrisers Hyderabad,1,0,1
13,2016-04-19,Kings XI Punjab,3,0,1
26,2016-04-30,Delhi Daredevils,0,0,1
30,2016-05-02,Royal Challengers Bangalore,1,0,1
32,2016-05-04,Kings XI Punjab,0,0,1
38,2016-05-08,Gujarat Lions,0,1,0
45,2016-05-14,Rising Pune Supergiants,1,1,1
51,2016-05-19,Gujarat Lions,1,0,1
55,2016-05-22,Sunrisers Hyderabad,1,0,0
58,2016-05-25,Sunrisers Hyderabad,1,1,0
