match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2023-04-01,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,10,0,0,60.0,not out,9
7,2023-04-04,Gujarat Titans,"Arun Jaitley Stadium, Delhi",1,1,0,0,100.0,not out,9
11,2023-04-08,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",3,7,0,0,42.86,not out,9
16,2023-04-11,Mumbai Indians,"Arun Jaitley Stadium, Delhi",0,1,0,0,0.0,run out (N Wadhera),9
20,2023-04-15,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",7,6,1,0,116.67,not out,11
34,2023-04-24,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4,3,1,0,133.33,not out,10
44,2023-05-02,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0,1,0,0,0.0,not out,10
55,2023-05-10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",0,1,0,0,0.0,not out,10
59,2023-05-13,Punjab Kings,"Arun Jaitley Stadium, Delhi",10,17,0,0,58.82,not out,9
67,2023-05-20,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",0,1,0,0,0.0,lbw b M Theekshana,10
