match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
1,Sunrisers Hyderabad,A Choudhary,4.0,0,55,1,13.75,5
1,Sunrisers Hyderabad,S Aravind,3.0,0,36,0,12.0,2
1,Sunrisers Hyderabad,SR Watson,3.0,0,41,0,13.67,3
1,Sunrisers Hyderabad,STR Binny,1.0,0,10,1,10.0,1
1,Sunrisers Hyderabad,TM Head,1.0,0,11,0,11.0,0
1,Sunrisers Hyderabad,TS Mills,4.0,0,31,1,7.75,10
1,Sunrisers Hyderabad,YS Chahal,4.0,0,22,1,5.5,5
5,Delhi Daredevils,B Stanlake,4.0,0,29,2,7.25,12
5,Delhi Daredevils,Iqbal Abdulla,3.0,0,36,2,12.0,3
5,Delhi Daredevils,P Negi,1.0,0,3,2,3.0,3
5,Delhi Daredevils,SR Watson,4.0,0,21,1,5.25,12
5,Delhi Daredevils,TS Mills,4.0,0,33,1,8.25,7
5,Delhi Daredevils,YS Chahal,4.0,0,19,1,4.75,10
8,Kings XI Punjab,B Stanlake,4.0,0,41,0,10.25,5
8,Kings XI Punjab,Iqbal Abdulla,2.0,0,19,0,9.5,3
8,Kings XI Punjab,P Negi,1.0,0,7,0,7.0,1
8,Kings XI Punjab,SR Watson,2.0,0,28,0,14.0,0
8,Kings XI Punjab,TS Mills,2.0,0,22,1,11.0,4
8,Kings XI Punjab,YS Chahal,3.3,0,29,1,8.29,8
12,Mumbai Indians,P Negi,2.0,0,28,0,14.0,1
12,Mumbai Indians,S Aravind,4.0,0,21,0,5.25,10
12,Mumbai Indians,S Badree,4.0,0,9,4,2.25,16
12,Mumbai Indians,STR Binny,2.0,0,14,1,7.0,3
12,Mumbai Indians,TS Mills,3.5,0,36,0,9.39,7
12,Mumbai Indians,YS Chahal,3.0,0,31,1,10.33,4
17,Rising Pune Supergiant,AF Milne,4.0,0,27,2,6.75,9
17,Rising Pune Supergiant,P Negi,3.0,0,12,1,4.0,6
17,Rising Pune Supergiant,S Aravind,4.0,0,29,2,7.25,9
17,Rising Pune Supergiant,S Badree,4.0,0,32,1,8.0,7
17,Rising Pune Supergiant,SR Watson,4.0,0,44,1,11.0,9
17,Rising Pune Supergiant,YS Chahal,1.0,0,11,0,11.0,3
20,Gujarat Lions,AF Milne,4.0,0,43,1,10.75,5
20,Gujarat Lions,P Negi,4.0,0,21,1,5.25,17
20,Gujarat Lions,S Aravind,4.0,0,53,1,13.25,7
20,Gujarat Lions,SR Watson,2.0,0,24,0,12.0,1
20,Gujarat Lions,TM Head,2.0,0,18,0,9.0,1
20,Gujarat Lions,YS Chahal,4.0,0,31,3,7.75,8
27,Kolkata Knight Riders,P Negi,3.0,0,15,2,5.0,10
27,Kolkata Knight Riders,S Aravind,3.3,1,27,1,7.71,7
27,Kolkata Knight Riders,S Badree,4.0,0,33,1,8.25,10
27,Kolkata Knight Riders,STR Binny,1.0,0,9,1,9.0,3
27,Kolkata Knight Riders,TS Mills,4.0,0,31,2,7.75,13
27,Kolkata Knight Riders,YS Chahal,4.0,0,16,3,4.0,10
31,Gujarat Lions,A Choudhary,2.0,0,21,0,10.5,5
31,Gujarat Lions,P Negi,2.0,0,24,1,12.0,4
31,Gujarat Lions,S Aravind,3.0,0,19,0,6.33,9
31,Gujarat Lions,S Badree,3.0,0,29,2,9.67,9
31,Gujarat Lions,TM Head,0.5,0,11,0,13.2,0
31,Gujarat Lions,YS Chahal,3.0,0,29,0,9.67,4
34,Rising Pune Supergiant,AF Milne,4.0,0,35,0,8.75,10
34,Rising Pune Supergiant,P Negi,4.0,0,18,1,4.5,12
34,Rising Pune Supergiant,S Aravind,4.0,0,30,0,7.5,7
34,Rising Pune Supergiant,S Badree,4.0,0,31,1,7.75,8
34,Rising Pune Supergiant,STR Binny,2.0,0,17,1,8.5,2
34,Rising Pune Supergiant,YS Chahal,2.0,0,25,0,12.5,1
38,Mumbai Indians,A Choudhary,4.0,0,32,1,8.0,9
38,Mumbai Indians,AF Milne,2.0,0,29,0,14.5,1
38,Mumbai Indians,P Negi,4.0,0,17,2,4.25,9
38,Mumbai Indians,S Aravind,2.0,0,21,0,10.5,1
38,Mumbai Indians,SR Watson,3.5,0,28,1,7.3,6
38,Mumbai Indians,YS Chahal,4.0,0,36,1,9.0,8
43,Kings XI Punjab,A Choudhary,4.0,1,17,2,4.25,13
43,Kings XI Punjab,P Negi,3.0,0,21,1,7.0,6
43,Kings XI Punjab,S Aravind,2.0,0,13,1,6.5,6
43,Kings XI Punjab,S Badree,3.0,0,14,0,4.67,8
43,Kings XI Punjab,SR Watson,4.0,0,43,1,10.75,5
43,Kings XI Punjab,YS Chahal,4.0,0,21,2,5.25,12
46,Kolkata Knight Riders,A Choudhary,2.5,1,19,1,6.71,10
46,Kolkata Knight Riders,P Negi,3.1,0,21,2,6.63,4
46,Kolkata Knight Riders,S Aravind,1.0,0,26,0,26.0,0
46,Kolkata Knight Riders,S Badree,3.0,0,40,0,13.33,4
46,Kolkata Knight Riders,TM Head,1.1,0,11,0,9.43,1
46,Kolkata Knight Riders,YS Chahal,4.0,0,39,1,9.75,12
56,Delhi Daredevils,Avesh Khan,4.0,0,23,1,5.75,11
56,Delhi Daredevils,HV Patel,4.0,0,43,3,10.75,8
56,Delhi Daredevils,P Negi,2.0,0,10,3,5.0,7
56,Delhi Daredevils,SR Watson,4.0,0,16,1,4.0,11
56,Delhi Daredevils,TM Head,3.0,0,30,2,10.0,5
56,Delhi Daredevils,YS Chahal,3.0,0,24,0,8.0,7
