match_number,date,opponent,venue,result,margin
1,2017-04-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 35 runs
5,2017-04-08,Delhi Daredevils,M.Chinnaswamy Stadium,won,by 15 runs
8,2017-04-10,Kings XI Punjab,Holkar Cricket Stadium,lost,by 8 wickets
12,2017-04-14,Mumbai Indians,M Chinnaswamy Stadium,lost,by 4 wickets
17,2017-04-16,Rising Pune Supergiant,M Chinnaswamy Stadium,lost,by 27 runs
20,2017-04-18,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 21 runs
27,2017-04-23,Kolkata Knight Riders,Eden Gardens,lost,by 82 runs
31,2017-04-27,Gujarat Lions,M Chinnaswamy Stadium,lost,by 7 wickets
34,2017-04-29,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,lost,by 61 runs
38,2017-05-01,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
43,2017-05-05,Kings XI Punjab,M Chinnaswamy Stadium,lost,by 19 runs
46,2017-05-07,Kolkata Knight Riders,M Chinnaswamy Stadium,lost,by 6 wickets
56,2017-05-14,Delhi Daredevils,Feroz Shah Kotla,won,by 10 runs
