match_number,date,opponent,venue,result,margin
2,2025-03-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 44 runs
6,2025-03-26,Kolkata Knight Riders,"Barsapara Cricket Stadium, Guwahati",lost,by 8 wickets
11,2025-03-30,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",won,by 6 runs
18,2025-04-05,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 50 runs
23,2025-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 58 runs
28,2025-04-13,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",lost,by 9 wickets
32,2025-04-16,Delhi Capitals,"Arun Jaitley Stadium, Delhi",no result,
36,2025-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",lost,by 2 runs
42,2025-04-24,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 11 runs
47,2025-04-28,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",won,by 8 wickets
50,2025-05-01,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",lost,by 100 runs
53,2025-05-04,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 1 runs
59,2025-05-18,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",lost,by 10 runs
62,2025-05-20,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",won,by 6 wickets
