innings,team,wicket_number,player_out,score,over
1,Delhi Daredevils,1,MA Agarwal,3,2.2
1,Delhi Daredevils,2,JP Duminy,22,5.3
1,Delhi Daredevils,3,SS Iyer,58,9.4
1,Delhi Daredevils,4,MK Tiwary,95,14.4
1,Delhi Daredevils,5,Yuvraj Singh,103,15.6
1,Delhi Daredevils,6,KM Jadhav,123,18.6
1,Delhi Daredevils,7,NM Coulter-Nile,145,20.2
1,Delhi Daredevils,8,AD Mathews,146,20.6
2,Kolkata Knight Riders,1,RV Uthappa,31,5.1
2,Kolkata Knight Riders,2,MK Pandey,31,5.4
2,Kolkata Knight Riders,3,SA Yadav,79,10.6
2,Kolkata Knight Riders,4,G Gambhir,144,18.5
