match_number,date,opponent,venue,result,margin
1,2015-04-08,Kolkata Knight Riders,Eden Gardens,lost,by 7 wickets
7,2015-04-12,Kings XI Punjab,Wankhede Stadium,lost,by 18 runs
9,2015-04-14,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 7 wickets
12,2015-04-17,Chennai Super Kings,Wankhede Stadium,lost,by 6 wickets
16,2015-04-19,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 18 runs
21,2015-04-23,Delhi Daredevils,Feroz Shah Kotla,lost,by 37 runs
23,2015-04-25,Sunrisers Hyderabad,Wankhede Stadium,won,by 20 runs
32,2015-05-01,Rajasthan Royals,Wankhede Stadium,won,by 8 runs
35,2015-05-03,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 23 runs
39,2015-05-05,Delhi Daredevils,Wankhede Stadium,won,by 5 wickets
43,2015-05-08,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 6 wickets
46,2015-05-10,Royal Challengers Bangalore,Wankhede Stadium,lost,by 39 runs
51,2015-05-14,Kolkata Knight Riders,Wankhede Stadium,won,by 5 runs
56,2015-05-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 9 wickets
57,2015-05-19,Chennai Super Kings,Wankhede Stadium,won,by 25 runs
60,2015-05-24,Chennai Super Kings,Eden Gardens,won,by 41 runs
