innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,13,6,Kolkata Knight Riders,SS Iyer,YS Chahal,MA Gough,wicket,struck down,False
2,9,4,Kolkata Knight Riders,Dhruv Jurel,SP Narine,UV Gandhe,wicket,upheld,False
2,11,4,Kolkata Knight Riders,JC Buttler,CV Varun,UV Gandhe,wicket,struck down,False
2,17,5,Rajasthan Royals,R Powell,SP Narine,UV Gandhe,wicket,struck down,False
