innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,18,1,Delhi Daredevils,GJ Maxwell,JC Archer,CK Nandan,,struck down,False
2,2,6,Rajasthan Royals,DJM Short,TA Boult,CK Nandan,,upheld,False
2,11,3,Delhi Daredevils,RA Tripathi,LE Plunkett,VK Sharma,,struck down,False
