match_number,date,opponent,venue,result,margin
4,2009-04-19,Deccan Chargers,Newlands,lost,by 8 wickets
6,2009-04-21,Kings XI Punjab,Kingsmead,won,by 11 runs
10,2009-04-23,Rajasthan Royals,Newlands,no result,
17,2009-04-27,Mumbai Indians,St George's Park,lost,by 92 runs
19,2009-04-29,Royal Challengers Bangalore,Kingsmead,lost,by 5 wickets
23,2009-05-01,Mumbai Indians,Buffalo Park,lost,by 9 runs
27,2009-05-03,Kings XI Punjab,St George's Park,lost,by 6 wickets
31,2009-05-05,Delhi Daredevils,Kingsmead,lost,by 9 wickets
39,2009-05-10,Delhi Daredevils,New Wanderers Stadium,lost,by 7 wickets
41,2009-05-12,Royal Challengers Bangalore,SuperSport Park,lost,by 6 wickets
48,2009-05-16,Deccan Chargers,New Wanderers Stadium,lost,by 6 wickets
51,2009-05-18,Chennai Super Kings,SuperSport Park,won,by 7 wickets
53,2009-05-20,Rajasthan Royals,Kingsmead,won,by 4 wickets
