match_number,date,opponent,venue,result,margin
3,2016-04-11,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 5 wickets
7,2016-04-15,Delhi Daredevils,Feroz Shah Kotla,lost,by 8 wickets
10,2016-04-17,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 6 wickets
13,2016-04-19,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 6 wickets
18,2016-04-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
21,2016-04-25,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 25 runs
28,2016-05-01,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 23 runs
32,2016-05-04,Kolkata Knight Riders,Eden Gardens,lost,by 7 runs
36,2016-05-07,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 9 runs
39,2016-05-09,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 1 runs
43,2016-05-13,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 7 wickets
46,2016-05-15,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",lost,by 7 wickets
50,2016-05-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 82 runs
53,2016-05-21,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,lost,by 4 wickets
