match_number,date,opponent,venue,result,margin
1,2018-04-07,Chennai Super Kings,Wankhede Stadium,lost,by 1 wickets
7,2018-04-12,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 1 wickets
9,2018-04-14,Delhi Daredevils,Wankhede Stadium,lost,by 7 wickets
14,2018-04-17,Royal Challengers Bangalore,Wankhede Stadium,won,by 46 runs
21,2018-04-22,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 3 wickets
23,2018-04-24,Sunrisers Hyderabad,Wankhede Stadium,lost,by 31 runs
27,2018-04-28,Chennai Super Kings,Maharashtra Cricket Association Stadium,won,by 8 wickets
31,2018-05-01,Royal Challengers Bangalore,M.Chinnaswamy Stadium,lost,by 14 runs
34,2018-05-04,Kings XI Punjab,Holkar Cricket Stadium,won,by 6 wickets
37,2018-05-06,Kolkata Knight Riders,Wankhede Stadium,won,by 13 runs
41,2018-05-09,Kolkata Knight Riders,Eden Gardens,won,by 102 runs
47,2018-05-13,Rajasthan Royals,Wankhede Stadium,lost,by 7 wickets
50,2018-05-16,Kings XI Punjab,Wankhede Stadium,won,by 3 runs
55,2018-05-20,Delhi Daredevils,Arun Jaitley Stadium,lost,by 11 runs
