match_number,opponent,bowler,overs,maidens,runs,wickets,economy,dots
1,Chennai Super Kings,HH Pandya,4.0,0,24,3,6.0,12
1,Chennai Super Kings,JJ Bumrah,4.0,0,37,1,9.25,10
1,Chennai Super Kings,M Markande,4.0,0,23,3,5.75,10
1,Chennai Super Kings,MJ McClenaghan,4.0,0,44,1,11.0,5
1,Chennai Super Kings,Mustafizur Rahman,3.5,0,39,1,10.17,7
7,Sunrisers Hyderabad,BCJ Cutting,4.0,0,40,0,10.0,4
7,Sunrisers Hyderabad,JJ Bumrah,4.0,0,32,2,8.0,6
7,Sunrisers Hyderabad,KH Pandya,2.0,0,10,0,5.0,3
7,Sunrisers Hyderabad,M Markande,4.0,0,23,4,5.75,10
7,Sunrisers Hyderabad,Mustafizur Rahman,4.0,0,24,3,6.0,10
7,Sunrisers Hyderabad,PJ Sangwan,2.0,0,19,0,9.5,4
9,Delhi Daredevils,A Dananjaya,4.0,0,47,0,11.75,6
9,Delhi Daredevils,HH Pandya,2.0,0,32,0,16.0,2
9,Delhi Daredevils,JJ Bumrah,4.0,0,27,0,6.75,9
9,Delhi Daredevils,KH Pandya,3.0,0,21,2,7.0,8
9,Delhi Daredevils,M Markande,3.0,0,42,0,14.0,2
9,Delhi Daredevils,Mustafizur Rahman,4.0,0,25,1,6.25,10
14,Royal Challengers Bangalore,HH Pandya,1.0,0,4,0,4.0,2
14,Royal Challengers Bangalore,JJ Bumrah,4.0,0,28,2,7.0,11
14,Royal Challengers Bangalore,KH Pandya,4.0,0,28,3,7.0,9
14,Royal Challengers Bangalore,M Markande,4.0,0,25,1,6.25,7
14,Royal Challengers Bangalore,MJ McClenaghan,3.0,0,24,2,8.0,4
14,Royal Challengers Bangalore,Mustafizur Rahman,4.0,0,55,0,13.75,3
21,Rajasthan Royals,HH Pandya,2.4,0,25,2,9.38,4
21,Rajasthan Royals,JJ Bumrah,4.0,0,28,2,7.0,10
21,Rajasthan Royals,KH Pandya,4.0,0,33,1,8.25,5
21,Rajasthan Royals,M Markande,2.0,0,15,0,7.5,3
21,Rajasthan Royals,MJ McClenaghan,3.0,0,32,1,10.67,5
21,Rajasthan Royals,Mustafizur Rahman,4.0,0,35,1,8.75,6
23,Sunrisers Hyderabad,HH Pandya,3.0,0,20,2,6.67,9
23,Sunrisers Hyderabad,JJ Bumrah,4.0,0,25,1,6.25,9
23,Sunrisers Hyderabad,KH Pandya,2.0,0,14,0,7.0,3
23,Sunrisers Hyderabad,M Markande,3.0,0,15,2,5.0,10
23,Sunrisers Hyderabad,MJ McClenaghan,3.0,0,22,2,7.33,10
23,Sunrisers Hyderabad,Mustafizur Rahman,3.4,0,18,1,4.91,12
27,Chennai Super Kings,BCJ Cutting,1.0,0,14,0,14.0,1
27,Chennai Super Kings,HH Pandya,4.0,0,39,1,9.75,7
27,Chennai Super Kings,JJ Bumrah,4.0,0,25,0,6.25,11
27,Chennai Super Kings,KH Pandya,4.0,0,32,2,8.0,9
27,Chennai Super Kings,M Markande,3.0,0,30,0,10.0,4
27,Chennai Super Kings,MJ McClenaghan,4.0,0,26,2,6.5,10
31,Royal Challengers Bangalore,HH Pandya,3.0,0,28,3,9.33,8
31,Royal Challengers Bangalore,JJ Bumrah,4.0,0,22,1,5.5,9
31,Royal Challengers Bangalore,JP Duminy,2.0,0,28,0,14.0,5
31,Royal Challengers Bangalore,KH Pandya,4.0,0,24,0,6.0,10
31,Royal Challengers Bangalore,M Markande,3.0,0,28,1,9.33,6
31,Royal Challengers Bangalore,MJ McClenaghan,4.0,0,34,1,8.5,12
34,Kings XI Punjab,BCJ Cutting,3.0,0,28,1,9.33,4
34,Kings XI Punjab,HH Pandya,4.0,0,44,1,11.0,7
34,Kings XI Punjab,JJ Bumrah,4.0,0,19,1,4.75,10
34,Kings XI Punjab,JP Duminy,1.0,0,8,0,8.0,1
34,Kings XI Punjab,KH Pandya,1.0,0,10,0,10.0,1
34,Kings XI Punjab,M Markande,3.0,0,29,1,9.67,6
34,Kings XI Punjab,MJ McClenaghan,4.0,0,31,1,7.75,12
37,Kolkata Knight Riders,BCJ Cutting,2.0,0,23,0,11.5,4
37,Kolkata Knight Riders,HH Pandya,4.0,0,19,2,4.75,13
37,Kolkata Knight Riders,JJ Bumrah,4.0,0,34,1,8.5,8
37,Kolkata Knight Riders,KH Pandya,3.0,0,29,1,9.67,7
37,Kolkata Knight Riders,M Markande,3.0,0,25,1,8.33,9
37,Kolkata Knight Riders,MJ McClenaghan,4.0,0,30,1,7.5,10
41,Kolkata Knight Riders,BCJ Cutting,2.0,0,12,1,6.0,6
41,Kolkata Knight Riders,HH Pandya,3.0,0,16,2,5.33,11
41,Kolkata Knight Riders,JJ Bumrah,3.0,0,17,1,5.67,10
41,Kolkata Knight Riders,KH Pandya,3.1,1,12,2,3.79,12
41,Kolkata Knight Riders,M Markande,4.0,0,26,1,6.5,9
41,Kolkata Knight Riders,MJ McClenaghan,3.0,0,24,1,8.0,11
47,Rajasthan Royals,HH Pandya,4.0,0,52,2,13.0,7
47,Rajasthan Royals,JJ Bumrah,3.0,0,34,1,11.33,6
47,Rajasthan Royals,KH Pandya,4.0,0,24,0,6.0,8
47,Rajasthan Royals,M Markande,3.0,0,32,0,10.67,2
47,Rajasthan Royals,MJ McClenaghan,4.0,0,28,0,7.0,11
50,Kings XI Punjab,BCJ Cutting,1.0,0,15,0,15.0,0
50,Kings XI Punjab,HH Pandya,4.0,0,42,0,10.5,5
50,Kings XI Punjab,JJ Bumrah,4.0,0,15,3,3.75,11
50,Kings XI Punjab,KH Pandya,4.0,0,36,0,9.0,3
50,Kings XI Punjab,M Markande,3.0,0,34,0,11.33,0
50,Kings XI Punjab,MJ McClenaghan,4.0,0,37,2,9.25,8
55,Delhi Daredevils,BCJ Cutting,4.0,0,36,0,9.0,4
55,Delhi Daredevils,HH Pandya,4.0,0,36,0,9.0,7
55,Delhi Daredevils,JJ Bumrah,4.0,0,29,1,7.25,8
55,Delhi Daredevils,KH Pandya,2.0,0,11,1,5.5,4
55,Delhi Daredevils,M Markande,2.0,0,21,1,10.5,2
55,Delhi Daredevils,Mustafizur Rahman,4.0,0,34,0,8.5,9
