match_number,date,opponent,venue,result,margin
2,2010-03-13,Rajasthan Royals,Brabourne Stadium,won,by 4 runs
9,2010-03-17,Delhi Daredevils,Feroz Shah Kotla,won,by 98 runs
14,2010-03-20,Royal Challengers Bangalore,Brabourne Stadium,lost,by 7 wickets
17,2010-03-22,Kolkata Knight Riders,Brabourne Stadium,won,by 7 wickets
21,2010-03-25,Chennai Super Kings,"Brabourne Stadium, Mumbai",won,by 5 wickets
25,2010-03-28,Deccan Chargers,Dr DY Patil Sports Academy,won,by 41 runs
27,2010-03-30,Kings XI Punjab,Brabourne Stadium,won,by 4 wickets
33,2010-04-03,Deccan Chargers,Brabourne Stadium,won,by 63 runs
37,2010-04-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 24 runs
41,2010-04-09,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 6 wickets
45,2010-04-11,Rajasthan Royals,Sawai Mansingh Stadium,won,by 37 runs
47,2010-04-13,Delhi Daredevils,Brabourne Stadium,won,by 39 runs
52,2010-04-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 57 runs
56,2010-04-19,Kolkata Knight Riders,Eden Gardens,lost,by 9 wickets
57,2010-04-21,Royal Challengers Bangalore,Dr DY Patil Sports Academy,won,by 35 runs
60,2010-04-25,Chennai Super Kings,Dr DY Patil Sports Academy,lost,by 22 runs
