innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,27,13,RD Gaikwad,3,3,1,31,15
1,Chennai Super Kings,2,Urvil Patel,13,8,RD Gaikwad,3,4,1,17,12
1,Chennai Super Kings,3,Kartik Sharma,32,19,RD Gaikwad,9,12,1,42,31
1,Chennai Super Kings,4,D Brevis,9,9,RD Gaikwad,0,2,1,10,11
1,Chennai Super Kings,5,S Dube,22,20,D Brevis,35,18,2,59,38
1,Chennai Super Kings,6,PR Veer,0,1,S Dube,4,3,1,5,4
1,Chennai Super Kings,7,AJ Hosein,3,1,PR Veer,11,8,2,16,9
1,Chennai Super Kings,8,AJ Hosein,3,1,PR Veer,11,8,2,16,9
2,Sunrisers Hyderabad,1,Abhishek Sharma,11,9,TM Head,6,6,1,18,15
2,Sunrisers Hyderabad,2,Ishan Kishan,23,19,Abhishek Sharma,15,12,0,38,31
2,Sunrisers Hyderabad,3,H Klaasen,47,26,Ishan Kishan,26,15,2,75,41
2,Sunrisers Hyderabad,4,Nithish Kumar Reddy,11,7,Ishan Kishan,10,9,1,22,16
2,Sunrisers Hyderabad,5,S Arora,9,4,Ishan Kishan,11,4,2,22,8
2,Sunrisers Hyderabad,6,R Smaran,5,2,S Arora,1,1,0,6,3
