innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Punjab Kings,1,KL Rahul,19,19,Mandeep Singh,15,14,36,32
1,Punjab Kings,2,CH Gayle,1,4,KL Rahul,2,2,3,6
1,Punjab Kings,3,AK Markram,1,1,KL Rahul,0,1,2,2
1,Punjab Kings,4,N Pooran,2,3,AK Markram,5,2,7,5
1,Punjab Kings,5,DJ Hooda,25,21,AK Markram,36,26,61,47
1,Punjab Kings,6,Harpreet Brar,8,15,DJ Hooda,3,5,14,20
1,Punjab Kings,7,Harpreet Brar,6,4,NT Ellis,6,4,12,8
2,Mumbai Indians,1,RG Sharma,8,10,Q de Kock,7,11,16,21
2,Mumbai Indians,2,SA Yadav,0,1,Q de Kock,0,0,0,1
2,Mumbai Indians,3,SS Tiwary,25,19,Q de Kock,20,18,45,37
2,Mumbai Indians,4,HH Pandya,11,14,SS Tiwary,20,18,31,32
2,Mumbai Indians,5,KA Pollard,15,7,HH Pandya,29,16,45,23
