team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Sunrisers Hyderabad,1,DA Warner,AR Patel,KS Williamson,0,0,0,,False,,
Sunrisers Hyderabad,2,DA Warner,AR Patel,KS Williamson,1,0,1,,False,,
Sunrisers Hyderabad,3,KS Williamson,AR Patel,DA Warner,4,0,4,,False,,
Sunrisers Hyderabad,4,KS Williamson,AR Patel,DA Warner,0,0,0,,False,,
Sunrisers Hyderabad,5,KS Williamson,AR Patel,DA Warner,0,1,1,legbyes,False,,
Sunrisers Hyderabad,6,DA Warner,AR Patel,KS Williamson,1,0,1,,False,,
Delhi Capitals,1,RR Pant,Rashid Khan,S Dhawan,1,0,1,,False,,
Delhi Capitals,2,S Dhawan,Rashid Khan,RR Pant,0,1,1,legbyes,False,,
Delhi Capitals,3,RR Pant,Rashid Khan,S Dhawan,4,0,4,,False,,
Delhi Capitals,4,RR Pant,Rashid Khan,S Dhawan,0,0,0,,False,,
Delhi Capitals,5,RR Pant,Rashid Khan,S Dhawan,0,1,1,legbyes,False,,
Delhi Capitals,6,S Dhawan,Rashid Khan,RR Pant,0,1,1,legbyes,False,,
