innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Pune Warriors,1,RV Uthappa,3,6,AJ Finch,10,11,13,17
1,Pune Warriors,2,MK Pandey,3,5,RV Uthappa,8,7,12,11
1,Pune Warriors,3,Yuvraj Singh,32,26,MK Pandey,26,24,59,50
1,Pune Warriors,4,Yuvraj Singh,1,1,AD Mathews,0,2,1,3
1,Pune Warriors,5,Yuvraj Singh,0,2,AM Nayar,0,0,0,2
1,Pune Warriors,6,KW Richardson,8,16,AM Nayar,5,6,14,22
1,Pune Warriors,7,AM Nayar,6,8,Parvez Rasool,3,4,10,12
1,Pune Warriors,8,Parvez Rasool,1,1,B Kumar,2,2,3,3
1,Pune Warriors,9,Parvez Rasool,1,1,B Kumar,2,2,3,3
2,Mumbai Indians,1,DR Smith,0,1,SR Tendulkar,0,0,0,1
2,Mumbai Indians,2,KD Karthik,7,13,SR Tendulkar,15,13,25,26
2,Mumbai Indians,3,RG Sharma,4,5,KD Karthik,10,12,14,17
2,Mumbai Indians,4,RG Sharma,27,29,AT Rayudu,26,23,54,52
2,Mumbai Indians,5,GJ Maxwell,13,7,RG Sharma,6,7,19,14
2,Mumbai Indians,6,Harbhajan Singh,4,3,GJ Maxwell,0,0,4,3
