innings,team,wicket_number,player_out,score,over
1,Deccan Chargers,1,AC Gilchrist,55,5.4
1,Deccan Chargers,2,VVS Laxman,55,5.5
1,Deccan Chargers,3,HH Gibbs,150,18.2
1,Deccan Chargers,4,A Symonds,160,19.1
2,Chennai Super Kings,1,M Vijay,12,3.1
2,Chennai Super Kings,2,SK Raina,18,3.4
2,Chennai Super Kings,3,ML Hayden,31,5.1
2,Chennai Super Kings,4,S Badrinath,32,6.3
2,Chennai Super Kings,5,JM Kemp,70,10.6
2,Chennai Super Kings,6,MS Dhoni,108,15.6
2,Chennai Super Kings,7,R Ashwin,115,16.3
2,Chennai Super Kings,8,L Balaji,136,18.5
2,Chennai Super Kings,9,M Muralitharan,137,19.1
