match_number,date,opponent,venue,result,margin
4,2014-04-18,Sunrisers Hyderabad,Sheikh Zayed Stadium,won,by 4 wickets
7,2014-04-20,Kings XI Punjab,Sharjah Cricket Stadium,lost,by 7 wickets
10,2014-04-23,Chennai Super Kings,Dubai International Cricket Stadium,lost,by 7 runs
14,2014-04-26,Royal Challengers Bangalore,Sheikh Zayed Stadium,won,by 6 wickets
19,2014-04-29,Kolkata Knight Riders,Sheikh Zayed Stadium,no result,
23,2014-05-03,Delhi Daredevils,Feroz Shah Kotla,won,by 7 wickets
25,2014-05-05,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",won,by 10 runs
30,2014-05-08,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",lost,by 32 runs
35,2014-05-11,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 5 wickets
37,2014-05-13,Chennai Super Kings,JSCA International Stadium Complex,lost,by 5 wickets
41,2014-05-15,Delhi Daredevils,"Sardar Patel Stadium, Motera",won,by 62 runs
44,2014-05-19,Mumbai Indians,"Sardar Patel Stadium, Motera",lost,by 25 runs
52,2014-05-23,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 16 runs
56,2014-05-25,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
