match_number,date,opponent,venue,result,margin
2,2012-04-05,Kolkata Knight Riders,Eden Gardens,won,by 8 wickets
5,2012-04-07,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 20 runs
11,2012-04-10,Chennai Super Kings,Feroz Shah Kotla,won,by 8 wickets
19,2012-04-16,Mumbai Indians,Wankhede Stadium,won,by 7 wickets
23,2012-04-19,Deccan Chargers,Feroz Shah Kotla,won,by 5 wickets
27,2012-04-21,Pune Warriors,Feroz Shah Kotla,lost,by 20 runs
31,2012-04-24,Pune Warriors,Subrata Roy Sahara Stadium,won,by 8 wickets
36,2012-04-27,Mumbai Indians,Feroz Shah Kotla,won,by 37 runs
39,2012-04-29,Rajasthan Royals,Feroz Shah Kotla,won,by 1 runs
43,2012-05-01,Rajasthan Royals,Sawai Mansingh Stadium,won,by 6 wickets
51,2012-05-07,Kolkata Knight Riders,Feroz Shah Kotla,lost,by 6 wickets
55,2012-05-10,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 9 wickets
59,2012-05-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 9 wickets
64,2012-05-15,Kings XI Punjab,Feroz Shah Kotla,won,by 5 wickets
67,2012-05-17,Royal Challengers Bangalore,Feroz Shah Kotla,lost,by 21 runs
69,2012-05-19,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,won,by 6 wickets
73,2012-05-22,Kolkata Knight Riders,Subrata Roy Sahara Stadium,lost,by 18 runs
75,2012-05-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 86 runs
