innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,12,3,Delhi Capitals,F du Plessis,A Nortje,RK Illingworth,,struck down,False
2,19,5,Delhi Capitals,S Dhawan,SM Curran,KN Ananthapadmanabhan,,upheld,False
