innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,4,4,Chennai Super Kings,RD Gaikwad,JR Hazlewood,N Pandit,,struck down,True
1,17,4,Royal Challengers Bangalore,RV Uthappa,Mohammed Siraj,Nitin Menon,,struck down,False
2,6,6,Royal Challengers Bangalore,Anuj Rawat,M Theekshana,Nitin Menon,,struck down,False
