innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Delhi Daredevils,death,61,3,30,12.2,10,10
1,Delhi Daredevils,middle,62,2,54,6.89,5,22
1,Delhi Daredevils,powerplay,34,2,36,5.67,4,21
2,Kochi Tuskers Kerala,death,53,6,40,7.95,6,13
2,Kochi Tuskers Kerala,middle,29,1,39,4.46,1,16
2,Kochi Tuskers Kerala,powerplay,37,3,34,6.53,5,17
