match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
9,2011-04-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",66,56,8,0,117.86,not out,4
14,2011-04-16,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",5,3,1,0,166.67,c R Ninan b JJ van der Wath,6
18,2011-04-18,Kochi Tuskers Kerala,Nehru Stadium,19,17,1,0,111.76,lbw b RV Gomez,4
25,2011-04-22,Mumbai Indians,Wankhede Stadium,71,48,7,2,147.92,not out,4
29,2011-04-25,Pune Warriors,"MA Chidambaram Stadium, Chepauk",11,7,0,1,157.14,not out,6
31,2011-04-27,Pune Warriors,Dr DY Patil Sports Academy,63,44,6,2,143.18,not out,3
39,2011-05-01,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",5,2,1,0,250.0,not out,6
48,2011-05-07,Kolkata Knight Riders,Eden Gardens,54,41,3,2,131.71,"run out (R Bhatia, MV Boucher)",4
56,2011-05-12,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",55,43,6,1,127.91,"run out (Y Nagar, IK Pathan)",4
64,2011-05-18,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",13,10,0,1,130.0,c RP Singh b BJ Hodge,4
69,2011-05-22,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,10,0,0,0.0,c A Mithun b DL Vettori,4
71,2011-05-24,Royal Challengers Bangalore,Wankhede Stadium,34,32,5,0,106.25,c S Aravind b A Mithun,4
