match_number,date,opponent,venue,result,margin
3,2012-04-06,Mumbai Indians,Wankhede Stadium,won,by 28 runs
8,2012-04-08,Kings XI Punjab,Subrata Roy Sahara Stadium,won,by 22 runs
14,2012-04-12,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 7 wickets
16,2012-04-14,Chennai Super Kings,Subrata Roy Sahara Stadium,won,by 7 wickets
21,2012-04-17,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 6 wickets
24,2012-04-19,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 13 runs
27,2012-04-21,Delhi Daredevils,Feroz Shah Kotla,won,by 20 runs
31,2012-04-24,Delhi Daredevils,Subrata Roy Sahara Stadium,lost,by 8 wickets
35,2012-04-26,Deccan Chargers,Subrata Roy Sahara Stadium,lost,by 18 runs
42,2012-05-01,Deccan Chargers,Barabati Stadium,lost,by 13 runs
45,2012-05-03,Mumbai Indians,Subrata Roy Sahara Stadium,lost,by 1 runs
47,2012-05-05,Kolkata Knight Riders,Eden Gardens,lost,by 7 runs
52,2012-05-08,Rajasthan Royals,Subrata Roy Sahara Stadium,lost,by 7 wickets
57,2012-05-11,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,lost,by 35 runs
60,2012-05-13,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 45 runs
70,2012-05-19,Kolkata Knight Riders,Subrata Roy Sahara Stadium,lost,by 34 runs
