match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2024-03-23,Kolkata Knight Riders,"Eden Gardens, Kolkata",18,13,2,0,138.46,c RK Singh b CV Varun,4
8,2024-03-27,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",42,28,2,1,150.0,not out,4
12,2024-03-31,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",17,19,0,0,89.47,c Rashid Khan b UT Yadav,4
18,2024-04-05,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50,36,4,1,138.89,lbw b MM Ali,3
23,2024-04-09,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,2,0,0,0.0,c JM Sharma b Arshdeep Singh,3
30,2024-04-15,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",32,17,2,2,188.24,not out,4
35,2024-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",1,3,0,0,33.33,c AR Patel b Kuldeep Yadav,3
41,2024-04-25,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,8,1,0,87.5,lbw b Swapnil Singh,3
46,2024-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",32,26,4,0,123.08,b M Pathirana,4
72,2024-05-24,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",1,2,0,0,50.0,c YS Chahal b TA Boult,4
73,2024-05-26,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",20,23,3,0,86.96,c MA Starc b AD Russell,4
