match_number,date,opponent,venue,result,margin
3,2014-04-18,Chennai Super Kings,Sheikh Zayed Stadium,won,by 6 wickets
7,2014-04-20,Rajasthan Royals,Sharjah Cricket Stadium,won,by 7 wickets
9,2014-04-22,Sunrisers Hyderabad,Sharjah Cricket Stadium,won,by 72 runs
15,2014-04-26,Kolkata Knight Riders,Sheikh Zayed Stadium,won,by 23 runs
18,2014-04-28,Royal Challengers Bangalore,Dubai International Cricket Stadium,won,by 5 wickets
22,2014-05-03,Mumbai Indians,Wankhede Stadium,lost,by 5 wickets
29,2014-05-07,Chennai Super Kings,Barabati Stadium,won,by 44 runs
31,2014-05-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 32 runs
34,2014-05-11,Kolkata Knight Riders,Barabati Stadium,lost,by 9 wickets
39,2014-05-14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 6 wickets
45,2014-05-19,Delhi Daredevils,Feroz Shah Kotla,won,by 4 wickets
48,2014-05-21,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",lost,by 7 wickets
52,2014-05-23,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",won,by 16 runs
55,2014-05-25,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",won,by 7 wickets
57,2014-05-27,Kolkata Knight Riders,Eden Gardens,lost,by 28 runs
59,2014-05-30,Chennai Super Kings,Wankhede Stadium,won,by 24 runs
60,2014-06-01,Kolkata Knight Riders,M Chinnaswamy Stadium,lost,by 3 wickets
