match_number,date,opponent,catches,stumpings,run_outs
10,2021-04-18,Kolkata Knight Riders,1,0,0
19,2021-04-25,Chennai Super Kings,1,0,0
39,2021-09-26,Mumbai Indians,1,0,0
43,2021-09-29,Rajasthan Royals,3,0,0
48,2021-10-03,Punjab Kings,1,0,0
