match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2013-04-06,Delhi Daredevils,Feroz Shah Kotla,5,7,0,0,71.43,c DA Warner b UT Yadav,5
8,2013-04-08,Kolkata Knight Riders,Sawai Mansingh Stadium,46,31,7,0,148.39,not out,5
13,2013-04-11,Pune Warriors,Subrata Roy Sahara Stadium,22,19,3,0,115.79,not out,5
18,2013-04-14,Kings XI Punjab,Sawai Mansingh Stadium,15,16,2,0,93.75,lbw b PP Chawla,5
23,2013-04-17,Mumbai Indians,Sawai Mansingh Stadium,27,15,0,2,180.0,not out,5
27,2013-04-20,Royal Challengers Bangalore,M Chinnaswamy Stadium,13,17,1,0,76.47,c KB Arun Karthik b R Vinay Kumar,5
30,2013-04-22,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",9,6,1,0,150.0,not out,6
40,2013-04-29,Royal Challengers Bangalore,Sawai Mansingh Stadium,32,18,1,2,177.78,b R Vinay Kumar,5
50,2013-05-05,Pune Warriors,Sawai Mansingh Stadium,4,5,0,0,80.0,c B Kumar b WD Parnell,4
61,2013-05-12,Chennai Super Kings,Sawai Mansingh Stadium,0,1,0,0,0.0,not out,7
66,2013-05-15,Mumbai Indians,Wankhede Stadium,39,27,7,0,144.44,lbw b SL Malinga,8
68,2013-05-17,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",8,7,1,0,114.29,b DW Steyn,6
74,2013-05-22,Sunrisers Hyderabad,Feroz Shah Kotla,54,29,2,5,186.21,not out,7
75,2013-05-24,Mumbai Indians,Eden Gardens,19,20,2,0,95.0,not out,6
