match_number,date,opponent,venue,result,margin
1,2009-04-18,Chennai Super Kings,Newlands,won,by 19 runs
12,2009-04-25,Deccan Chargers,Kingsmead,lost,by 12 runs
17,2009-04-27,Kolkata Knight Riders,St George's Park,won,by 92 runs
20,2009-04-29,Kings XI Punjab,Kingsmead,lost,by 3 runs
23,2009-05-01,Kolkata Knight Riders,Buffalo Park,won,by 9 runs
28,2009-05-03,Royal Challengers Bangalore,New Wanderers Stadium,lost,by 9 wickets
32,2009-05-06,Deccan Chargers,SuperSport Park,lost,by 19 runs
35,2009-05-08,Delhi Daredevils,Buffalo Park,lost,by 7 wickets
38,2009-05-10,Royal Challengers Bangalore,St George's Park,won,by 16 runs
42,2009-05-12,Kings XI Punjab,SuperSport Park,won,by 8 wickets
45,2009-05-14,Rajasthan Royals,Kingsmead,lost,by 2 runs
47,2009-05-16,Chennai Super Kings,St George's Park,lost,by 7 wickets
55,2009-05-21,Delhi Daredevils,SuperSport Park,lost,by 4 wickets
