innings,team,wicket_number,player_out,score,over
1,Pune Warriors,1,AJ Finch,96,13.3
1,Pune Warriors,2,RV Uthappa,101,15.1
1,Pune Warriors,3,LRPL Taylor,118,17.1
1,Pune Warriors,4,MR Marsh,128,18.1
1,Pune Warriors,5,MK Pandey,159,20.5
2,Chennai Super Kings,1,S Anirudha,0,1.2
2,Chennai Super Kings,2,SK Raina,23,5.2
2,Chennai Super Kings,3,M Vijay,40,7.4
2,Chennai Super Kings,4,S Badrinath,86,13.6
2,Chennai Super Kings,5,RA Jadeja,98,15.4
2,Chennai Super Kings,6,DJ Bravo,104,16.5
2,Chennai Super Kings,7,MS Dhoni,115,18.3
2,Chennai Super Kings,8,JA Morkel,124,20.1
