innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,1,1,Lucknow Super Giants,YBK Jaiswal,Naveen-ul-Haq,J Madanagopal,wicket,struck down,False
2,8,3,Lucknow Super Giants,YBK Jaiswal,Ravi Bishnoi,YC Barde,wicket,struck down,False
