innings,team,wicket_number,player_out,score,over
1,Mumbai Indians,1,RG Sharma,8,2.5
1,Mumbai Indians,2,Q de Kock,37,7.2
1,Mumbai Indians,3,SA Yadav,68,11.3
1,Mumbai Indians,4,SS Tiwary,80,13.5
1,Mumbai Indians,5,KA Pollard,87,15.1
1,Mumbai Indians,6,HH Pandya,109,19.1
1,Mumbai Indians,7,NM Coulter-Nile,111,19.4
1,Mumbai Indians,8,J Yadav,122,20.2
2,Delhi Capitals,1,S Dhawan,14,2.6
2,Delhi Capitals,2,PP Shaw,15,3.4
2,Delhi Capitals,3,SPD Smith,30,5.1
2,Delhi Capitals,4,RR Pant,57,9.2
2,Delhi Capitals,5,AR Patel,77,12.4
2,Delhi Capitals,6,SO Hetmyer,93,14.1
