innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Royal Challengers Bengaluru,1,PD Salt,8,9,V Kohli,28,18,1,37,27
1,Royal Challengers Bengaluru,2,D Padikkal,17,16,PD Salt,38,21,1,56,37
1,Royal Challengers Bengaluru,3,RM Patidar,23,8,D Padikkal,33,13,2,58,21
1,Royal Challengers Bengaluru,4,TH David,70,25,RM Patidar,25,11,4,99,35
2,Chennai Super Kings,1,SV Samson,2,2,RD Gaikwad,7,3,0,9,5
2,Chennai Super Kings,2,A Mhatre,1,3,SV Samson,0,0,0,1,3
2,Chennai Super Kings,3,SN Khan,12,6,SV Samson,7,3,1,20,9
2,Chennai Super Kings,4,Kartik Sharma,6,2,SN Khan,38,19,3,47,20
2,Chennai Super Kings,5,S Dube,7,3,Kartik Sharma,0,1,0,7,4
2,Chennai Super Kings,6,PR Veer,13,8,S Dube,11,10,0,24,18
2,Chennai Super Kings,7,J Overton,27,11,PR Veer,30,21,0,57,32
2,Chennai Super Kings,8,A Kamboj,2,2,J Overton,10,5,1,13,6
2,Chennai Super Kings,9,Noor Ahmad,8,8,A Kamboj,3,3,1,12,11
2,Chennai Super Kings,10,A Kamboj,14,7,MJ Henry,2,3,1,17,10
