innings,over,ball,team,player_in,player_out,reason
1,17,1,Chennai Super Kings,Kartik Sharma,KK Ahmed,impact_player
2,11,1,Royal Challengers Bengaluru,Suyash Sharma,D Padikkal,impact_player
