match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
9,2022-04-02,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",1,1,0,0,100.0,"run out (Ishan Kishan, Tilak Varma)",7
20,2022-04-10,Lucknow Super Giants,"Wankhede Stadium, Mumbai",28,23,0,2,121.74,retired out,6
24,2022-04-14,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",8,8,0,1,100.0,c DA Miller b LH Ferguson,3
30,2022-04-18,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",2,2,0,0,100.0,not out,7
39,2022-04-26,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",17,9,4,0,188.89,c & b Mohammed Siraj,3
44,2022-04-30,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",21,9,3,1,233.33,c Ishan Kishan b RP Meredith,7
47,2022-05-02,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",6,5,0,0,120.0,not out,7
58,2022-05-11,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",50,38,4,2,131.58,c DA Warner b MR Marsh,3
63,2022-05-15,Lucknow Super Giants,"Brabourne Stadium, Mumbai",10,7,1,0,142.86,not out,7
68,2022-05-20,Chennai Super Kings,"Brabourne Stadium, Mumbai",40,23,2,3,173.91,not out,5
71,2022-05-24,Gujarat Titans,"Eden Gardens, Kolkata",2,1,0,0,200.0,not out,7
74,2022-05-29,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",6,9,0,0,66.67,c DA Miller b R Sai Kishore,6
