match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2016-04-13,Mumbai Indians,Eden Gardens,4,1,1,0,400.0,not out,7
13,2016-04-19,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",11,9,2,0,122.22,not out,5
20,2016-04-24,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,60,49,6,2,122.45,lbw b M Ashwin,3
24,2016-04-28,Mumbai Indians,Wankhede Stadium,21,17,2,0,123.53,c & b TG Southee,4
26,2016-04-30,Delhi Daredevils,Feroz Shah Kotla,21,13,1,1,161.54,c SS Iyer b CR Brathwaite,5
30,2016-05-02,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,5,2,0,200.0,not out,7
38,2016-05-08,Gujarat Lions,Eden Gardens,4,12,0,0,33.33,c SK Raina b DR Smith,4
48,2016-05-16,Royal Challengers Bangalore,Eden Gardens,5,5,1,0,100.0,c Iqbal Abdulla b S Aravind,6
51,2016-05-19,Gujarat Lions,Green Park,17,14,1,1,121.43,c DS Kulkarni b SB Jakati,7
55,2016-05-22,Sunrisers Hyderabad,Eden Gardens,6,3,1,0,200.0,not out,8
58,2016-05-25,Sunrisers Hyderabad,Feroz Shah Kotla,23,15,1,1,153.33,c S Dhawan b MC Henriques,6
