match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2022-03-28,Lucknow Super Giants,"Wankhede Stadium, Mumbai",40,24,5,2,166.67,not out,6
10,2022-04-02,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",14,8,1,1,175.0,c SN Thakur b Mustafizur Rahman,6
16,2022-04-08,Punjab Kings,"Brabourne Stadium, Mumbai",13,3,0,2,433.33,not out,6
21,2022-04-11,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",6,4,1,0,150.0,"run out (N Pooran, T Natarajan)",7
29,2022-04-17,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",6,14,0,0,42.86,c RA Jadeja b DJ Bravo,6
35,2022-04-23,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",17,12,2,0,141.67,c RK Singh b AD Russell,5
40,2022-04-27,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",40,21,4,2,190.48,not out,5
43,2022-04-30,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",43,25,5,2,172.0,not out,6
48,2022-05-03,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",11,13,0,0,84.62,c Sandeep Sharma b K Rabada,6
51,2022-05-06,Mumbai Indians,"Brabourne Stadium, Mumbai",3,4,0,0,75.0,"run out (Ishan Kishan, Tilak Varma)",6
57,2022-05-10,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",22,16,4,0,137.5,not out,6
67,2022-05-19,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",2,3,0,0,66.67,c KD Karthik b JR Hazlewood,6
