match_number,date,opponent,venue,result,margin
3,2013-04-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 22 runs
6,2013-04-07,Kings XI Punjab,Subrata Roy Sahara Stadium,lost,by 8 wickets
13,2013-04-11,Rajasthan Royals,Subrata Roy Sahara Stadium,won,by 7 wickets
15,2013-04-13,Mumbai Indians,Wankhede Stadium,lost,by 41 runs
19,2013-04-15,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",won,by 24 runs
22,2013-04-17,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,lost,by 11 runs
29,2013-04-21,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 7 wickets
31,2013-04-23,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 130 runs
39,2013-04-28,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,lost,by 15 runs
42,2013-04-30,Chennai Super Kings,Subrata Roy Sahara Stadium,lost,by 37 runs
46,2013-05-02,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,lost,by 17 runs
50,2013-05-05,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 5 wickets
56,2013-05-09,Kolkata Knight Riders,Subrata Roy Sahara Stadium,lost,by 46 runs
58,2013-05-11,Mumbai Indians,Subrata Roy Sahara Stadium,lost,by 5 wickets
65,2013-05-15,Kolkata Knight Riders,JSCA International Stadium Complex,won,by 7 runs
71,2013-05-19,Delhi Daredevils,Subrata Roy Sahara Stadium,won,by 38 runs
