match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2023-04-01,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,4,0,0,100.0,c Sikandar Raza b RD Chahar,6
9,2023-04-06,Royal Challengers Bangalore,"Eden Gardens, Kolkata",46,33,2,3,139.39,c KD Karthik b HV Patel,5
13,2023-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",48,21,1,6,228.57,not out,5
19,2023-04-14,Sunrisers Hyderabad,"Eden Gardens, Kolkata",58,31,4,4,187.1,not out,7
22,2023-04-16,Mumbai Indians,"Wankhede Stadium, Mumbai",18,18,2,0,100.0,c N Wadhera b D Jansen,6
28,2023-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",6,8,1,0,75.0,c Lalit Yadav b AR Patel,6
33,2023-04-23,Chennai Super Kings,"Eden Gardens, Kolkata",53,33,3,4,160.61,not out,6
36,2023-04-26,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",18,10,2,1,180.0,not out,6
39,2023-04-29,Gujarat Titans,"Eden Gardens, Kolkata",19,20,0,1,95.0,c J Little b Noor Ahmad,6
47,2023-05-04,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",46,35,4,1,131.43,c Abdul Samad b T Natarajan,5
53,2023-05-08,Punjab Kings,"Eden Gardens, Kolkata",21,10,2,1,210.0,not out,6
56,2023-05-11,Rajasthan Royals,"Eden Gardens, Kolkata",16,18,0,1,88.89,c JE Root b YS Chahal,6
61,2023-05-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",54,43,4,3,125.58,run out (MM Ali),5
68,2023-05-20,Lucknow Super Giants,"Eden Gardens, Kolkata",67,33,6,4,203.03,not out,5
