match_number,date,opponent,venue,result,margin
2,2024-03-23,Delhi Capitals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 4 wickets
6,2024-03-25,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",lost,by 4 wickets
11,2024-03-30,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 21 runs
17,2024-04-04,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 3 wickets
23,2024-04-09,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 2 runs
27,2024-04-13,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 3 wickets
33,2024-04-18,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 9 runs
37,2024-04-21,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",lost,by 3 wickets
42,2024-04-26,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 8 wickets
49,2024-05-01,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 7 wickets
53,2024-05-05,Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",lost,by 28 runs
58,2024-05-09,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",lost,by 60 runs
65,2024-05-15,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",won,by 5 wickets
69,2024-05-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 4 wickets
