match_number,date,opponent,catches,stumpings,run_outs
6,2016-04-14,Rising Pune Supergiants,1,0,0
9,2016-04-16,Mumbai Indians,1,0,0
23,2016-04-27,Delhi Daredevils,1,0,0
28,2016-05-01,Kings XI Punjab,0,0,1
